words,cluster,x,y
guitar,-1,3.839976435218126,1.6482705859186164
bass,-1,3.8403628844989313,1.6780978980062295
piano,-1,3.892372556998069,1.5762654699430851
drums,-1,3.838599580360232,1.6994837885612843
string,-1,3.795823923694941,1.4876322334517404
keyboards,-1,3.8338802134442522,1.7025361003425885
percussion,-1,3.8303774737422254,1.6787700462037465
violin,-1,3.8966125098605287,1.5868359616708336
horn,-1,2.7034252757671853,2.1977600998532085
saxophone,-1,3.8770718826301227,1.7052608225864
tenor,-1,3.8952028727354673,1.6684149683843448
flute,-1,3.880014375758866,1.6302579733891618
viola,-1,3.888475751840082,1.6643920694987642
trumpet,-1,3.863348498026536,1.6953674951507305
cello,-1,3.8933240661635526,1.5995281911410764
clarinet,-1,3.896247826361383,1.6420538767930106
baritone,-1,3.9013612814460368,1.6485561856971112
synthesizer,-1,3.825696440722669,1.6784277891242705
trombone,-1,3.8707918294711128,1.6990871605399709
harp,-1,3.8063140381831375,1.6023209699742529
dog,-1,-2.321724976430698,-0.09613120749813314
cat,-1,-2.38328205754643,-0.24060869096368245
dragon,-1,-1.7951845266491873,-2.2994794943489034
monster,-,-1.6712976107763524,-2.5403520846135783
mouse,-1,-2.5586489063945623,-0.3394581004375033
snake,-1,-2.471911284579212,-0.2297209768534815
cats,-1,-2.414315166236534,-0.06078600601604056
pet,-1,-2.2749909206187264,-0.4835052196053634
elephant,-1,-2.4331980664708985,-0.34280529751563305
monkey,-1,-2.3821989381245428,-0.4015748688883573
rat,-1,-2.517720984502916,-0.2798580147198588
rabbit,-1,-2.3966249407797138,-0.07995863818852901
pig,-1,-2.2762887383484705,0.032114292022315805
doll,-1,-1.7448328759933505,-1.8593391096731515
